,user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays,trending
13,thetrapbaddie,6.81E+18,6.93E+18,Use code TT for $$ off 💞 #fyp #couplegoals #funny #viral #foryou #foryoupage #xzybca #squishy #squishmallows #valentine,1612823307,31,https://www.tiktok.com/@thetrapbaddie/video/6927023301176970501?lang=en,202,1,0,1123,0
14,thetrapbaddie,6.81E+18,6.93E+18,Trapathon Milkshake 💙 #fyp #foryou #smallbusiness #viral #foryoupage #fy #xzybca,1612477986,26,https://www.tiktok.com/@thetrapbaddie/video/6925540162411793670?lang=en,161,1,3,1143,0
15,thetrapbaddie,6.81E+18,6.93E+18,Link In Bio To Shop ❤️ #fyp #smallbusiness #foryou #nails #nailtech #nailtutorial #fy,1612406485,47,https://www.tiktok.com/@thetrapbaddie/video/6925233045746224389?lang=en,152,0,0,1140,0
16,thetrapbaddie,6.81E+18,6.92E+18,"Where my trap baddies at? 😍 Shop Trap Milkshakes, link in bio ✨ #fyp #foryou #smallbusiness #foryoupage #valentine #xyzbca #f",1612246795,50,https://www.tiktok.com/@thetrapbaddie/video/6924547102806707462?lang=en,92,1,1,650,0
17,thetrapbaddie,6.81E+18,6.92E+18,Red Velvet Milkshake 🥰 Now available on my website #fyp #nailtutorial #valentine #foryou #foryoupage,1612165996,12,https://www.tiktok.com/@thetrapbaddie/video/6924200059592510725?lang=en,427,2,2,10300,0
18,thetrapbaddie,6.81E+18,6.92E+18,Use code TT for money off 😚 Link in bio! #fyp #foryou #roachclips #cardclip #viral #valentine #period #pepperspray #xzybca #nailtech,1611904402,28,https://www.tiktok.com/@thetrapbaddie/video/6923076506428116230?lang=en,107,0,1,782,0
19,thetrapbaddie,6.81E+18,6.92E+18,Now Available On My Website 🛍 Link In Bio. #fyp #xzybca #foryou #viral #boujee #foryoupage #barbie #valentine #f,1611899169,10,https://www.tiktok.com/@thetrapbaddie/video/6923054064993422598?lang=en,124,1,1,1088,0
20,thetrapbaddie,6.81E+18,6.92E+18,Customizing Acrylic 💫💅🏻 #fyp #for#nailtech #nailtoturial #nails #nail #nailsartvideos,1611631279,20,https://www.tiktok.com/@thetrapbaddie/video/6921903556484140293?lang=en,11700,15,42,282700,0
21,thetrapbaddie,6.81E+18,6.92E+18,He was OVVERR IT 😂😂 #fyp #foryou #nailtech #nailtutorial #nails,1611374159,7,https://www.tiktok.com/@thetrapbaddie/video/6920799229845818630?lang=en,17600,283,84,96500,0
22,thetrapbaddie,6.81E+18,6.92E+18,Dm to book with me 💞💅🏻✨🥰  #fyp #nails #nailtech #nailtutorial,1611367817,19,https://www.tiktok.com/@thetrapbaddie/video/6920772009513504005?lang=en,270,4,10,2185,0
23,thetrapbaddie,6.81E+18,6.92E+18,Follow my insta to book w me💞 I always get canceled on last min :( La area! #nails #nailtech #nailtutorial #nail #fyp #foryou #lanailtech #lanails #f,1610601640,20,https://www.tiktok.com/@thetrapbaddie/video/6917481239540747526?lang=en,421,1,7,5690,0
24,thetrapbaddie,6.81E+18,6.92E+18,How it is asking my boyfriend to record me,1610570860,59,https://www.tiktok.com/@thetrapbaddie/video/6917349109137542405?lang=en,41700,64,99,226800,0
25,thetrapbaddie,6.81E+18,6.91E+18,Who would purchase these if I put them up on my website?💖 #viral #fypage #foryoupage #nails #nail #nailtech #nailtoturial #foryoupage #nailsartvideos,1609883393,36,https://www.tiktok.com/@thetrapbaddie/video/6914396464814771462?lang=en,694,1,15,5739,0
26,thetrapbaddie,6.81E+18,6.91E+18,La area 📍 Dm @jnailedyou to book your appointment 💕 #nails #nailtech #nailtoturial #fyp #foryoupage #foryourpage #fory #nail #nailsartvideos #foryou,1609881131,14,https://www.tiktok.com/@thetrapbaddie/video/6914386752098602246?lang=en,234,1,7,2433,0
27,thetrapbaddie,6.81E+18,6.91E+18,Cant wait to try these. Dm @jnailedyou on insta to book your appointment 💕 La area. #nailtech #nails #fyp #foryoupage #nailsupply #viral #valentine,1609796673,33,https://www.tiktok.com/@thetrapbaddie/video/6914024005011819781?lang=en,169,0,7,2145,0
28,thetrapbaddie,6.81E+18,6.91E+18,Link in bio babes💕 Everything will be on sale till Feb 1!! #fyp #foryoupage #foryourpage #nailtech #nail #nails #nailtutorial #nailsupply #valentine,1609660820,23,https://www.tiktok.com/@thetrapbaddie/video/6913440394256698630?lang=en,6055,98,93,30700,0
29,thetrapbaddie,6.81E+18,6.91E+18,Comment for final results😍 #nails #trending #nailtutorial #nailtech #nailartistkim #nailthoughts #nailsart #nailsupply #fyp #foryou #viral #fy #fypシ,1608586874,54,https://www.tiktok.com/@thetrapbaddie/video/6908827952767601926?lang=en,1740,0,11,13200,0
30,thetrapbaddie,6.81E+18,6.91E+18,Use code TT for $ off!! Link in bio💖 Super low prices! #fyp #nails #nail #nailtech #nailart #nailsupply #foryou #fyp #fy #smallbusinesscheck #la #fya,1608060185,6,https://www.tiktok.com/@thetrapbaddie/video/6906565814728674565?lang=en,371,4,9,6500,0
31,thetrapbaddie,6.81E+18,6.91E+18,Dm my insta @jnailedyou to book your appointment! #nails #nailtech #nailtutorial #nailsupply #nailartistkim #fyp #foryou #foryoupage #fy #nail #la #sg,1608007012,20,https://www.tiktok.com/@thetrapbaddie/video/6906337411031158021?lang=en,818,1,2,9816,0
32,thetrapbaddie,6.81E+18,6.90E+18,Dm to book your appointment 💕 #nails #nailtutorial #nailthoughts #fyp #nailtech #fy #foryou #nailsupplies #foryoupage #nail #nailsartvideos #xlnails,1607633281,17,https://www.tiktok.com/@thetrapbaddie/video/6904732283824082182?lang=en,769,6,7,4554,0
33,thetrapbaddie,6.81E+18,6.90E+18,Dont ruin your nails like me! 😣 #nailtech #nails #nailthoughts #naila #fyp #fy #foryoupage #foryou #nailtutorial #nailsupply #nailhacks #nail,1607631714,59,https://www.tiktok.com/@thetrapbaddie/video/6904725552742059269?lang=en,225,0,1,3503,0
34,thetrapbaddie,6.81E+18,6.90E+18,Comment if youd like to see how i clean my brushes 🧼 #nails #nailtoturial #cleopatra #fyp #foryou #fy #naila #nailsupply #nailartistkim #naila #nail,1607557153,59,https://www.tiktok.com/@thetrapbaddie/video/6904405305136811270?lang=en,3758,5,9,24100,0
35,thetrapbaddie,6.81E+18,6.90E+18,S/O to my boo for letting me practice on him 💖 Stickers & rhinestones available on my website! #nails #nailtutorial #nail #fyp #foryou #fy,1607488267,9,https://www.tiktok.com/@thetrapbaddie/video/6904109316853353734?lang=en,2148,5,7,43200,0
36,thetrapbaddie,6.81E+18,6.90E+18,My client created this tiktok 💕 Go check out her page stoners!! @stonercosmetics #nailtutorial #nails #nail #nailthoughts #fyp #foryou #fy #small,1607469137,20,https://www.tiktok.com/@thetrapbaddie/video/6904027227101449477?lang=en,221,1,0,1795,0
37,thetrapbaddie,6.81E+18,6.90E+18,"Dm to book your appointment 💅🏻 Stickers from my website, use code TT for $ off ✨ #nails #nailtutorial #nail #fyp #foryou #foryoupage #nailthoughts",1607468447,15,https://www.tiktok.com/@thetrapbaddie/video/6904024258947616005?lang=en,519,5,1,3428,0
38,thetrapbaddie,6.81E+18,6.90E+18,Dm me to book your appointment 💖 #nails #nailtutorial #frenchtip #fyp #foryou #foryoupage #nail #nailthoughts #nailsupplies #nailartistkim #fypシ #fy,1607459434,20,https://www.tiktok.com/@thetrapbaddie/video/6903985525028392198?lang=en,671,2,1,4611,0
39,thetrapbaddie,6.81E+18,6.90E+18,I told him to get me a practice hand 🤷🏻‍♀️ Comment for final results! 💕#nails #nailtutorial #fyp #foryou #nail #nailsupply #nailartistkim #xxl,1607458062,13,https://www.tiktok.com/@thetrapbaddie/video/6903979620161441030?lang=en,1233,1,5,13700,0
40,thetrapbaddie,6.81E+18,6.90E+18,Go shop for your nail accessories 💕 Link in bio. Use code TT for $ off!! #nailtutorial #nails #organize #nail #fyp #foryou #nailartist48 #nailsupply,1607384036,17,https://www.tiktok.com/@thetrapbaddie/video/6903661726537960709?lang=en,4772,8,34,20300,0
41,thetrapbaddie,6.81E+18,6.90E+18,Dm my insta to book with me 💙 @jnailedyou #nails #nailtutorial #nailsartvideos #nailthoughts #fyp #fy #fypシ #nail,1606779056,19,https://www.tiktok.com/@thetrapbaddie/video/6901063408276212998?lang=en,20300,64,46,156700,0
42,thetrapbaddie,6.81E+18,6.90E+18,"My first time doing an acrylic pedi, howd i do? 🥰 All items on my etsy are on sale! #fyp #nails #nailtutorial #acrylicnails #nail",1605816036,8,https://www.tiktok.com/@thetrapbaddie/video/6896927184384953605?lang=en,68000,389,141,3800000,0
43,thetrapbaddie,6.81E+18,6.90E+18,"Press on nails 💅🏻 starting at $15 💖 All items on my etsy are on sale, link in bio#foryoupage #nails #nail #fyp #nailtutorial #fypシ #nailsartvideos",1605746536,20,https://www.tiktok.com/@thetrapbaddie/video/6896628719717321990?lang=en,729,2,7,7123,0
44,thetrapbaddie,6.81E+18,6.89E+18,My first packaging video lol I swear my next one gone be better!! #fypシ #nails #nailsupply #fyp #nailtutorial Shoutout to ERICKA!!,1605054107,53,https://www.tiktok.com/@thetrapbaddie/video/6893654762995109126?lang=en,12600,20,89,61200,0
45,thetrapbaddie,6.81E+18,6.89E+18,Doing your dominant hand with your non dominant hand is so hard!! #nails #nail #nailtutorial #nailsartvideos #nailsupply #nailart #nailartistkim,1603826739,17,https://www.tiktok.com/@thetrapbaddie/video/6888383214734429445?lang=en,772,0,6,7939,0
46,thetrapbaddie,6.81E+18,6.89E+18,packing a fake order ☺️☺️ #fyp #SFXMakeup #tiktok #nailsupply #nailtutorial #nailstuff,1603422329,10,https://www.tiktok.com/@thetrapbaddie/video/6886646280337034502?lang=en,1005,1,10,8742,0
47,thetrapbaddie,6.81E+18,6.88E+18,#jnailedyou #nails #nailtutorial #nailartistkim #nailthoughts,1601429466,20,https://www.tiktok.com/@thetrapbaddie/video/6878087045663771910?lang=en,680,2,6,5032,0
48,thetrapbaddie,6.81E+18,6.88E+18,LOS ANGELES CA 📍 #nail #nailart #nailsupply #nails #nailsticker #nailtutorial #nailsupply #nailartistkim #nailthoughts,1601429082,15,https://www.tiktok.com/@thetrapbaddie/video/6878085402339691782?lang=en,1393,4,18,12900,0
49,thetrapbaddie,6.81E+18,6.88E+18,Available for purchase 💕 Dm me for prices 💕 #nails #nailtutorial #nailsupply #nailart #OriginalMusic #ToMyBestFriend #fyp #ToMyBestFriend,1601349516,6,https://www.tiktok.com/@thetrapbaddie/video/6877743630598081798?lang=en,6985,15,47,67200,0
50,thetrapbaddie,6.81E+18,6.88E+18,set starting at 50+ xxl #fyp #HelloFall #nails #nailtutorial #nailsupply ￼,1600836989,16,https://www.tiktok.com/@thetrapbaddie/video/6875542169239702789?lang=en,20500,54,31,109200,0
51,itsnastynaz,6.55E+18,6.93E+18,Just Doing My Job 👀 #foryou #customersbelike,1614113248,19,https://www.tiktok.com/@itsnastynaz/video/6932563567501774085?lang=en,20900,11,182,101200,0
52,itsnastynaz,6.55E+18,6.93E+18,What Would You Do ? Keep It 🥺 Or Give It Back ? 😍 Glad He Was Honest ! Till His Prize Arrived 😊🎁,1614104524,34,https://www.tiktok.com/@itsnastynaz/video/6932526093903695109?lang=en,27700,45,416,151400,0
53,itsnastynaz,6.55E+18,6.93E+18,Did I Handle This Right ? 👀,1614096389,10,https://www.tiktok.com/@itsnastynaz/video/6932491148527242501?lang=en,67800,53,656,902000,0
54,itsnastynaz,6.55E+18,6.93E+18,bAg It Up............💀 #foryou #bagitup,1614027122,15,https://www.tiktok.com/@itsnastynaz/video/6932193658632457477?lang=en,73900,73,317,843700,0
55,itsnastynaz,6.55E+18,6.93E+18,Peeing Prank On Big Brother 😂 @tinysavage_ @itsavage #foryou #prank #prankwars,1614010187,8,https://www.tiktok.com/@itsnastynaz/video/6932120914943315206?lang=en,66500,76,293,413700,0
56,itsnastynaz,6.55E+18,6.93E+18,That’s On Throwing Change 😡,1613963427,12,https://www.tiktok.com/@itsnastynaz/video/6931920056079224070?lang=en,84300,84,507,510200,0
57,itsnastynaz,6.55E+18,6.93E+18,He Was Being Rude 😡,1613932581,19,https://www.tiktok.com/@itsnastynaz/video/6931787614403955973?lang=en,128200,77,2644,721600,0
58,itsnastynaz,6.55E+18,6.93E+18,Hiding $50 Under Sandwich For Homeless Person ❤️ God Bless Him 🙏☺️ #homeless,1613886876,19,https://www.tiktok.com/@itsnastynaz/video/6931591221253115142?lang=en,132300,366,1484,790300,0
59,itsnastynaz,6.55E+18,6.93E+18,Creamy Toothpaste Prank 😋 @itsavage,1613841458,18,https://www.tiktok.com/@itsnastynaz/video/6931396247672605957?lang=en,97400,156,539,676700,0
60,itsnastynaz,6.55E+18,6.93E+18,What Would You Do ? KEEP them 🥺 Or Give Them Back ❤️ Glad She Was Honest ☺️ HER PRIZE Arrived 🎁❤️,1613781198,36,https://www.tiktok.com/@itsnastynaz/video/6931137412353559813?lang=en,416500,552,2159,4700000,0
61,itsnastynaz,6.55E+18,6.93E+18,He Said Out In A Bag 🤷🏻‍♂️@mh_smiley21,1613684804,22,https://www.tiktok.com/@itsnastynaz/video/6930723409852714245?lang=en,230900,273,1427,2100000,0
62,itsnastynaz,6.55E+18,6.93E+18,Was I Wrong 👀,1613674099,12,https://www.tiktok.com/@itsnastynaz/video/6930677442835172613?lang=en,335800,421,2127,4200000,0
63,itsnastynaz,6.55E+18,6.93E+18,He Came Back For More 😡,1613650072,23,https://www.tiktok.com/@itsnastynaz/video/6930574181293755654?lang=en,575300,774,20300,7500000,0
64,itsnastynaz,6.55E+18,6.93E+18,What did he say ???? 😱@tinysavage_,1613624243,10,https://www.tiktok.com/@itsnastynaz/video/6930463230259252486?lang=en,843100,7014,11600,5100000,0
65,itsnastynaz,6.55E+18,6.93E+18,Would You Keep It ? 🥺 OR give It Back ? 😍 Glad He Was Honest Because His Prize Arrived 💝🎁 #foryou #love #give #honesty,1613583473,36,https://www.tiktok.com/@itsnastynaz/video/6930288196639149317?lang=en,5000000,56000,50500,46400000,1
66,itsnastynaz,6.55E+18,6.93E+18,He Said Bag It Up 🤷🏻‍♂️😂 #foryou #customersbelike #kid,1613543636,22,https://www.tiktok.com/@itsnastynaz/video/6930116973690965254?lang=en,461000,602,3313,4200000,0
67,itsnastynaz,6.55E+18,6.93E+18,That’s For GoodLuck ☘️ #foryou #customersbelike @seanmoran42,1613501991,14,https://www.tiktok.com/@itsnastynaz/video/6929938239092493574?lang=en,190100,205,552,1400000,0
68,itsnastynaz,6.55E+18,6.93E+18,He Found This Dog Outside 🥺 And He Can’t Take Care Of Him 😢 I’ll Take Him In ❤️ ( What Should I Name Him ) 😱 #lost #dog #love #foryou,1613439433,12,https://www.tiktok.com/@itsnastynaz/video/6929669535121411334?lang=en,268200,483,6632,1800000,0
69,itsnastynaz,6.55E+18,6.93E+18,Eww Who Eats Ritz With Milk 🤮,1613417205,14,https://www.tiktok.com/@itsnastynaz/video/6929574087123619077?lang=en,392200,520,1930,10000000,0
70,itsnastynaz,6.55E+18,6.93E+18,He Already Lost.......😂 #foryou #funny #gottem,1613406668,7,https://www.tiktok.com/@itsnastynaz/video/6929528821901282565?lang=en,166300,409,739,1400000,0
71,itsnastynaz,6.55E+18,6.93E+18,"He Has No Family Or Loved One To Spend Worh Today 😔 , So I Gave Him Flowers And A Suprise 🙏🎁 ( GOD BLESS ) ❤️ #homeless",1613352101,29,https://www.tiktok.com/@itsnastynaz/video/6929294454515879173?lang=en,244500,1392,5076,1900000,0
72,itsnastynaz,6.55E+18,6.93E+18,Did I Handle This Ok ? 🤷🏻‍♂️ #foryou #customersbelike #rude,1613318569,9,https://www.tiktok.com/@itsnastynaz/video/6929150446971948293?lang=en,254300,375,7449,2100000,0
73,itsnastynaz,6.55E+18,6.93E+18,That’s For GoodLuck 🍀 #foryou #rude #kid #fyp,1613245190,18,https://www.tiktok.com/@itsnastynaz/video/6928835295907450117?lang=en,288300,230,1067,2100000,0
74,itsnastynaz,6.55E+18,6.93E+18,Did I Handle This Right ? 👀@noni1810 #foryou #fyp #viral #customersbelike,1613236674,11,https://www.tiktok.com/@itsnastynaz/video/6928798709320928517?lang=en,314700,512,1727,4200000,0
75,itsnastynaz,6.55E+18,6.93E+18,I Asked This Sweet Homeless Man What I Could Do To Make Him Smile 😊 ( He CRIED ) ❤️😢 #foryou #homeless #help #itsnastynaz,1613162803,20,https://www.tiktok.com/@itsnastynaz/video/6928481448517176582?lang=en,210600,844,3344,1200000,0
76,itsnastynaz,6.55E+18,6.93E+18,He Lost $100 😂 @tinysavage_  #foryou #kid #funny,1613158080,6,https://www.tiktok.com/@itsnastynaz/video/6928461155337833734?lang=en,131900,177,565,1100000,0
77,itsnastynaz,6.55E+18,6.93E+18,#stitch with @marlyestevess,1613112151,7,https://www.tiktok.com/@itsnastynaz/video/6928263760935161094?lang=en,307700,2301,2475,2500000,0
78,itsnastynaz,6.55E+18,6.93E+18,OMG What Did He Say ?????? 🤯,1613104726,7,https://www.tiktok.com/@itsnastynaz/video/6928231937341541637?lang=en,202600,1504,1561,1900000,0
79,itsnastynaz,6.55E+18,6.93E+18,He Wasn’t Specific 🤷🏻‍♂️,1613073534,18,https://www.tiktok.com/@itsnastynaz/video/6928098031195753733?lang=en,172500,134,680,1500000,0
80,itsnastynaz,6.55E+18,6.93E+18,bAg It uP............😭 ( @tinysavage_  ) #foryou #customersbelike #rude,1612987204,28,https://www.tiktok.com/@itsnastynaz/video/6927727250741726470?lang=en,1000000,1132,2935,10200000,0
81,itsnastynaz,6.55E+18,6.93E+18,He Was Having A Hard Time In His Life 🥺 So I Helped Him Out 🙏❤️ ( HE SAID I MADE HIS DAY ) ☺️ #homeless #help #give love,1612955418,20,https://www.tiktok.com/@itsnastynaz/video/6927590651907329286?lang=en,164600,546,2915,1100000,0
82,itsnastynaz,6.55E+18,6.93E+18,I’m A Man 😂 #foryou #viral #joke,1612907108,13,https://www.tiktok.com/@itsnastynaz/video/6927383230781885702?lang=en,170100,1088,806,1300000,0
83,itsnastynaz,6.55E+18,6.93E+18,He Said Change It....😐 ( @tinysavage_  ) #foryou #funny #customers #kid,1612847586,8,https://www.tiktok.com/@itsnastynaz/video/6927127492872375558?lang=en,246200,239,637,2400000,0
84,itsnastynaz,6.55E+18,6.93E+18,HE Came To Ask Me For Food 🥺 So I Helped Him Out ❤️ His Smile Made Me CRY 😢 ( ENJOY ) 😊 #foryou #fyp #homeless,1612809232,14,https://www.tiktok.com/@itsnastynaz/video/6926962860522245382?lang=en,208100,721,3047,1400000,0
85,itsnastynaz,6.55E+18,6.93E+18,Make It Spicy 🥵 ( @tinysavage_  ) #foryou #kid #rude #viral,1612779699,22,https://www.tiktok.com/@itsnastynaz/video/6926835919005814021?lang=en,251000,544,1128,2800000,0
86,itsnastynaz,6.55E+18,6.93E+18,Bag it Up.............🤷🏻‍♂️ I Got Nervous 😟 #foryou #customersbelike,1612771164,24,https://www.tiktok.com/@itsnastynaz/video/6926799220359924998?lang=en,166500,200,1025,1400000,0
87,itsnastynaz,6.55E+18,6.93E+18,What’s A Bake ?????? #foryou #viral,1612759108,8,https://www.tiktok.com/@itsnastynaz/video/6926747512506289414?lang=en,132000,143,487,1700000,0
88,itsnastynaz,6.55E+18,6.93E+18,* He Was Rude * 😡 #foryou #customersbelike #fyp #foryoupage @axelbaby5,1612722554,13,https://www.tiktok.com/@itsnastynaz/video/6926590587898465542?lang=en,152200,131,494,1800000,0
89,itsnastynaz,6.55E+18,6.93E+18,this Is Broken...........😡 #foryou #customersbelike,1612676022,9,https://www.tiktok.com/@itsnastynaz/video/6926390669170806022?lang=en,200500,158,622,2200000,0
90,itsnastynaz,6.55E+18,6.93E+18,tHis Is bRoKen......💀 #foryou #kid #rude,1612590207,12,https://www.tiktok.com/@itsnastynaz/video/6926022069297679621?lang=en,453400,595,1370,9600000,0
91,itsnastynaz,6.55E+18,6.93E+18,"😢 He Was Looking Inside For People To Give  Him Food 🥺 , So I Brung Him In Fed Him And Gave Him $50 So He Gets Food Later🙏❤️ He Said He LOVES ME ☺️",1612480242,26,https://www.tiktok.com/@itsnastynaz/video/6925549846204009733?lang=en,1500000,5694,19200,9600000,0
92,itsnastynaz,6.55E+18,6.93E+18,"Would You Keep  It ? 🥺 Or Give It Back ? ❤️ Glad He Was Honest , Till His Prize Arrived 🙏☺️ #foryou #fyp #foryoupage",1612379548,37,https://www.tiktok.com/@itsnastynaz/video/6925117383002656005?lang=en,295800,562,2714,2600000,0
93,itsnastynaz,6.55E+18,6.92E+18,"🥺 IT Was Snowing So Hard , But He Was Hungry 😢 , It Hurts To Watch Him Suffer 😞 Glad I Helped Him ❤️( HE WAS HAPPY ) #foryou #foryoupage #homeless",1612326035,12,https://www.tiktok.com/@itsnastynaz/video/6924887495901449477?lang=en,273100,1025,3949,2100000,0
94,itsnastynaz,6.55E+18,6.92E+18,hE SAid * Give Me Some Milk * 😅,1612293918,20,https://www.tiktok.com/@itsnastynaz/video/6924749605137648902?lang=en,696100,545,3721,12600000,0
95,itsnastynaz,6.55E+18,6.92E+18,HE Said His MOMS Gonna Be Happy 🥺❤️ ( Whats 10 X 5 ) ? He Forgot The Money 😂 #foryou #math #viral #give,1612262470,22,https://www.tiktok.com/@itsnastynaz/video/6924614449965829382?lang=en,197000,170,572,1400000,0
96,itsnastynaz,6.55E+18,6.92E+18,Did I Handle This Right ? 👀 #foryou #fyp #viral #customersbelike #rude @kewlkideli,1612189456,12,https://www.tiktok.com/@itsnastynaz/video/6924300915910528262?lang=en,2400000,8884,12100,26100000,0
97,itsnastynaz,6.55E+18,6.92E+18,"Breaking Strangers IPhone 📲 , And Then Changing My Sweater 😂 ( Fooled Them ) 😎",1612074689,17,https://www.tiktok.com/@itsnastynaz/video/6923807929191746821?lang=en,215100,86,396,1800000,0
98,itsnastynaz,6.55E+18,6.92E+18,pOuR SoMe milK....😂  @nyc_jay5,1612029316,25,https://www.tiktok.com/@itsnastynaz/video/6923613150461955334?lang=en,862000,977,3964,11500000,0
99,itsnastynaz,6.55E+18,6.92E+18,🥺 She Said She Didn’t Eat For 2 Days 😢 So I Let Her Pick Whatever She Wants And Gave Her $100 😊 She CRiED 🙏❤️ #foryou #homeless #help #give #love,1611982661,18,https://www.tiktok.com/@itsnastynaz/video/6923412726471494918?lang=en,1100000,3930,19000,8200000,0
100,itsnastynaz,6.55E+18,6.92E+18,"Watch Until End Suprise 😊📲 Glad He Did The Right Thing , ❤️ And His Prize Arrived 😍📲  HE WAS HAPPY #foryou #foryoupage #fyp",1611870508,43,https://www.tiktok.com/@itsnastynaz/video/6922931070161751302?lang=en,3300000,6860,22500,27800000,0
101,itsnastynaz,6.55E+18,6.92E+18,tHESE tAkIs nOt sPiCy eNoUgH..........@itswebyy,1611843969,18,https://www.tiktok.com/@itsnastynaz/video/6922817073584393477?lang=en,240600,396,1381,1900000,0
102,itsnastynaz,6.55E+18,6.92E+18,bAg iT uP 😂 #foryou #fyp #viral #customers #rude,1611791796,19,https://www.tiktok.com/@itsnastynaz/video/6922592992524061957?lang=en,214200,192,659,2100000,0
103,itsnastynaz,6.55E+18,6.92E+18,tHiS iS bRoKeN....😡 #foryou #funny #customersbelike #rude,1611781379,10,https://www.tiktok.com/@itsnastynaz/video/6922548260200762630?lang=en,218200,177,647,2200000,0
104,itsnastynaz,6.55E+18,6.92E+18,"😞 He Was Watching Him Eat , While He Was Hungry 🥺 ! So I Invited Him In And Gave Him Food 🙏❤️ HE WAS HAPPY 😍 #foryou #give #homeless( @itsavage  )",1611772872,14,https://www.tiktok.com/@itsnastynaz/video/6922511728869739781?lang=en,408700,1387,6108,4000000,0
105,itsnastynaz,6.55E+18,6.92E+18,hE sAid bAg iT Up....😡 #foryou #rude #customers #newyork #viral,1611727593,20,https://www.tiktok.com/@itsnastynaz/video/6922317145518935301?lang=en,327100,1360,1835,5200000,0
